id,game_id,team_id,first_player_id,second_player_id,minute,stat_type
1,1,4,27,35,1,goal
2,1,4,35,30,3,goal
3,1,4,29,,22,yellow_card
4,1,4,26,,37,yellow_card
5,1,4,32,34,64,goal
6,1,4,36,35,64,subs
7,1,4,38,28,71,subs
8,1,4,37,32,71,subs
9,1,4,40,30,89,subs
10,1,4,39,31,89,subs
11,1,2,19,2,9,subs
12,1,2,20,8,46,subs
13,1,2,21,9,46,subs
14,1,2,22,6,64,subs
15,1,2,23,7,76,subs
16,1,2,23,20,87,goal
17,4,2,21,14,41,goal
18,4,2,7,,66,yellow_card
19,4,2,20,22,68,subs
20,4,2,17,,75,yellow_card
21,4,2,23,,93,yellow_card
22,4,2,23,7,78,subs
23,4,2,6,21,89,subs
24,8,2,50,11,12,goal
25,8,2,11,50,34,goal
26,8,2,48,5,64,subs
27,8,2,14,22,64,subs
28,8,2,21,50,73,subs
29,8,2,7,23,83,subs
30,8,3,51,,48,goal
31,8,3,51,,79,goal
32,8,3,52,53,85,goal
33,5,4,27,31,15,goal
34,5,4,39,54,44,goal
35,5,4,39,36,75,goal
36,2,3,51,,87,goal
37,2,1,55,56,27,goal
38,6,5,59,,52,goal
39,6,5,57,58,76,goal
40,7,1,60,61,46,goal
41,7,5,57,59,20,goal
42,7,5,58,57,51,goal
43,7,5,62,63,91,goal
